"customer_id";"email";"type";"mention_rate"
1;"abc@efg.com";"personal";52
2;"abc@efg.com";"work";58
3;"abc@efg.com";"personal";62
4;"ashley.laycraft@hotmail.com";"work";37
5;"ashley.laycraft@hotmail.com";"personal";76
6;"ashley.laycraft@hotmail.com";"work";57
7;"B.RUBBLE@TELUS.NET";"personal";39
8;"eee@bmo.com";"personal";30
9;"eee@bmo.com";"work";67
10;"FRED.FLINSTONE@BEDROCK.PARK.ON.CA";"work";55
11;"FRED.FLINSTONE@BEDROCK.PARK.ON.CA";"personal";95
12;"FRED.FLINSTONE@BEDROCK.PARK.ON.CA";"work";85
13;"FRED.FLINSTONE@BEDROCK.PARK.ON.CA";"personal";72
14;"G.SINGER@BMO.GC.ON.CA";"personal";68
15;"G.SINGER@BMO.GC.ON.CA";"personal";41
16;"G.SINGER@BMO.GC.ON.CA";"personal";64
17;"GOODY@HANMAIL.COM";"work";88
18;"GOODY@HANMAIL.COM";"personal";70
19;"GOODY@HANMAIL.COM";"personal";70
20;"GOODY@HANMAIL.COM";"work";52
21;"GORDANSINGER@GMAIL.COM";"personal";68
22;"GORDANSINGER@GMAIL.COM";"work";89
23;"GORDANSINGER@GMAIL.COM";"work";99
24;"GORDANSINGER@HOTMAIL.COM";"work";25
25;"GORDANSINGER@HOTMAIL.COM";"personal";54
26;"GORDANSINGER@HOTMAIL.COM";"work";76
27;"GORDANSINGER@HOTMAIL.COM";"work";88
28;"HANBOK@HOTMAIL.COM";"personal";36
29;"HANBOK@HOTMAIL.COM";"work";64
30;"j@bmo.com";"personal";77
31;"j@bmo.com";"work";66
32;"JORDAN.SINGER@YAHOO.COM";"personal";98
33;"JORDAN.SINGER@YAHOO.COM";"personal";91
34;"kevin.laycraft@rogers.com";"personal";79
35;"NABI@NAVER.COM";"personal";42
36;"NABI@NAVER.COM";"personal";91
37;"NABI@NAVER.COM";"work";62
38;"pat.laycraft@rogers.com";"work";84
39;"pat.laycraft@rogers.com";"personal";34
40;"pat.laycraft@rogers.com";"personal";35
41;"PIRI3@YAHOO.COM";"personal";77
42;"PIRI3@YAHOO.COM";"work";82
43;"PIRI58@HOTMAIL.COM";"work";39
44;"ab@abc.com";"work";78
45;"ab@abc.com";"work";73
46;"ab@abc.com";"personal";89
47;"ab@abc.com";"work";55
48;"ab@abc.com";"personal";76
49;"ab@abc.com";"personal";30
50;"ab@abc.com";"work";96
51;"ab@abc.com";"work";76
52;"ab@abc.com";"personal";46
53;"ab@abc.com";"personal";42
54;"ab@abc.com";"personal";57
55;"ab@abc.com";"personal";29
56;"ab@abc.com";"personal";40
57;"abc@efg.com";"personal";56
58;"abc@efg.com";"work";72
59;"PIRI58@HOTMAIL.COM";"personal";66
60;"PIRI58@HOTMAIL.COM";"personal";83
61;"PIRI7@DAUM.COM";"personal";97
62;"PIRI7@DAUM.COM";"work";59
63;"PIRI7@DAUM.COM";"work";38
64;"PIRI7@DAUM.COM";"work";25
65;"abc@efg.com";"personal";68
66;"abc@efg.com";"work";45
67;"abc@efg.com";"personal";26
68;"abc@efg.com";"work";89
69;"ashley.laycraft@hotmail.com";"work";31
70;"abc@efg.com";"work";80
71;"ashley.laycraft@hotmail.com";"personal";78
72;"PIRI7@DAUM.COM";"work";70
73;"PIRI7@DAUM.COM";"personal";58
74;"PIRI9@HOTMAIL.COM";"personal";52
75;"B.RUBBLE@TELUS.NET";"personal";66
76;"eee@bmo.com";"work";71
77;"B.RUBBLE@TELUS.NET";"work";42
78;"B.RUBBLE@TELUS.NET";"personal";44
79;"B.RUBBLE@TELUS.NET";"personal";49
80;"B.RUBBLE@TELUS.NET";"personal";69
81;"eee@bmo.com";"work";39
82;"eee@bmo.com";"personal";89
83;"FRED.FLINSTONE@BEDROCK.PARK.ON.CA";"personal";58
84;"eee@bmo.com";"personal";46
85;"eee@bmo.com";"personal";76
86;"eee@bmo.com";"work";38
87;"eee@bmo.com";"work";28
88;"eee@bmo.com";"work";69
89;"eee@bmo.com";"work";34
90;"eee@bmo.com";"personal";81
91;"FRED.FLINSTONE@BEDROCK.PARK.ON.CA";"personal";62
92;"PU@DD.NET";"work";86
93;"rlaycraft@bell.net";"personal";40
94;"rlaycraft@bell.net";"personal";47
95;"rlaycraft@bell.net";"work";87
96;"rlaycraft@bell.net";"work";50
97;"ross.laycraft@bmo.com";"personal";63
98;"ross.laycraft@bmo.com";"work";70
99;"ross.laycraft@sympatico.ca";"personal";62
100;"ross.laycraft@sympatico.ca";"personal";63
101;"st@bmo.com";"personal";40
