"id";"cust_type";"first_name";"last_name";"ssn";"gender";"dob";"pref_market";"pref_share"
1;"Closed";"Dr.";"John";"123-99-7479";"M";1978-12-16;"Y";"Y"
2;"Prospect";"Smith";"W.";"123-99-7479";"M";1978-12-16;"Y";"Y"
3;"Active";"John";"William";"123-99-7479";"M";1978-12-16;"Y";"Y"
4;"Active";"Dr.";"J.W.";"123-99-7479";"M";;"Y";"Y"
5;"Active";"John";"Smith";"123-99-7479";"M";1978-11-16;"Y";"Y"
6;"Active";"Smith";"John";"123-99-7479";"M";1978-11-16;"Y";"Y"
7;"Prospect";"John";"Smiht";"123-99-7479";"M";1978-11-16;"Y";"Y"
8;"Active";"Jane";"Watson";"123-99-7479";"M";;"Y";"Y"
9;"Active";"Watson";"Jane";"123-99-7479";"F";1982-01-05;"Y";"Y"
10;"Prospect";"Jane";"Smith";"123-99-7479";"F";1982-05-01;"Y";"Y"
11;"Active";"J.";"Smith";"123-99-7479";"M";;"Y";"Y"
12;"Closed";"Janette";"Smith";"123-99-7479";"F";1982-01-05;"Y";"Y"
13;"Active";"Karen";"Wolf";"123-99-7479";"M";1994-09-08;"Y";"Y"
14;"Active";"Denisse";"Smith";"123-99-7479";"F";;"Y";"Y"
15;"Active";"Smith";"Denisse";"123-99-7479";"M";1994-04-24;"Y";"Y"
16;"Active";"Adam";"Whitman";"123-99-7479";"M";1969-02-20;"Y";"Y"
17;"Active";"A.";"Whitman";"123-99-7479";"M";1900-01-01;"Y";"Y"
18;"Active";"Dirkse";"Jazmine";"123-99-7479";"M";1960-07-17;"Y";"Y"
19;"Active";"Caspers";"Belia";"123-99-7479";"M";1979-11-18;"Y";"Y"
20;"Active";"Whitney";"Bhatnagar";"123-99-7479";"M";1959-07-09;"Y";"Y"
21;"Prospect";"Mestrovich";"Jolanda";"123-99-7479";"M";1989-05-04;"Y";"Y"
22;"Active";"Bail";"Gustavo";"123-99-7479";"M";1956-05-18;"Y";"Y"
23;"Active";"Shinabery";"Tamie";"123-99-7479";"M";1963-03-15;"Y";"Y"
24;"Active";"Wertman";"Annemarie";"123-99-7479";"M";;"Y";"Y"
25;"Active";"Maldanado";"Madge";"123-99-7479";"M";1941-06-30;"Y";"Y"
26;"Active";"Harmeyer";"Karen";"123-99-7479";"F";1984-05-23;"Y";"Y"
27;"Prospect";"Overland";"Spring";"123-99-7479";"M";1973-04-03;"Y";"Y"
28;"Active";"Turnley";"Denae";"123-99-7479";"M";1976-07-27;"Y";"Y"
29;"Closed";"Jehlicka";"Lorenza";"123-99-7479";"M";1957-10-12;"Y";"Y"
30;"Active";"Choulnard";"Mollie";"123-99-7479";"M";1947-09-25;"Y";"Y"
31;"Active";"Sarmiento";"Olene";"123-99-7479";"M";1957-07-22;"Y";"Y"
32;"Closed";"Elizbeth";"Kazmer";"123-99-7479";"M";1943-05-19;"Y";"Y"
33;"Active";"Volle";"Elbert";"123-99-7479";"M";;"Y";"Y"
34;"Prospect";"Aleshia";"Kaszton";"123-99-7479";"M";1944-08-07;"Y";"Y"
35;"Active";"Carline";"McPheron";"123-99-7479";"M";1971-03-29;"Y";"Y"
36;"Active";"Aguila";"Ammie";"123-99-7479";"M";1953-06-24;"Y";"Y"
37;"Active";"Fleisner";"Edward";"123-99-7479";"M";;"Y";"Y"
38;"Active";"Esteban";"Foussell";"123-99-7479";"M";1997-12-05;"Y";"Y"
39;"Prospect";"Tryninewski";"Honey";"123-99-7479";"M";1981-01-14;"Y";"Y"
40;"Prospect";"Edythe";"Hodgen";"123-99-7479";"M";1940-02-11;"Y";"Y"
41;"Active";"Condell";"Leandra";"123-99-7479";"M";1968-12-12;"Y";"Y"
42;"Active";"Handon";"Donette";"123-99-7479";"M";;"Y";"Y"
43;"Active";"Shute";"Arlie";"123-99-7479";"M";1949-03-15;"Y";"Y"
44;"Active";"Laverne";"Clumpner";"123-99-7479";"M";1949-12-19;"Y";"Y"
45;"Active";"Maryln";"Kishimoto";"123-99-7479";"M";;"Y";"Y"
46;"Active";"Lupita";"Isidoro";"123-99-7479";"M";1972-09-02;"Y";"Y"
47;"Active";"Penalver";"Margarite";"123-99-7479";"M";;"Y";"Y"
48;"Active";"Nogoda";"Garth";"123-99-7479";"M";1900-01-01;"Y";"Y"
49;"Closed";"Christen";"Klinker";"123-99-7479";"M";1900-01-01;"Y";"Y"
50;"Active";"Tomas";"Kloberdanz";"123-99-7479";"M";1984-12-28;"Y";"Y"
51;"Active";"Keesha";"Bonanni";"123-99-7479";"M";1900-01-01;"Y";"Y"
52;"Active";"SYSTEM";"MIGRATION";"123-99-7479";"M";1900-01-01;"Y";"Y"
53;"Active";"Deemer";"Wenona";"123-99-7479";"M";1985-04-06;"Y";"Y"
54;"Active";"Teodora";"Ramagano";"123-99-7479";"M";1952-12-20;"Y";"Y"
55;"Prospect";"Raza";"Mattie";"123-99-7479";"F";1958-02-01;"Y";"Y"
56;"Active";"Halpain";"Vania";"123-99-7479";"M";1944-07-13;"Y";"Y"
57;"Closed";"Lebrecht";"Jacinto";"123-99-7479";"M";;"Y";"Y"
58;"Active";"SYSTEM";"MIGRATION";"123-99-7479";"M";1988-10-27;"Y";"Y"
59;"Active";"Jeanett";"Dicecco";"123-99-7479";"M";;"Y";"Y"
60;"Active";"Loriann";"Blaydon";"123-99-7479";"M";;"Y";"Y"
61;"Active";"Slonecker";"Esther";"123-99-7479";"F";;"Y";"Y"
62;"Closed";"Armstead";"Eryn";"123-99-7479";"M";1949-03-31;"Y";"Y"
63;"Active";"Rolff";"Kellye";"123-99-7479";"M";;"Y";"Y"
64;"Active";"Hrabal";"Lucy";"123-99-7479";"F";1952-08-09;"Y";"Y"
65;"Active";"Zoll";"Kelvin";"123-99-7479";"M";;"Y";"Y"
66;"Active";"Catherine";"Whitbread";"123-99-7479";"F";1950-07-12;"Y";"Y"
67;"Active";"SYSTEM";"MIGRATION";"123-99-7479";"M";;"Y";"Y"
68;"Active";"Alease";"Cusworth";"123-99-7479";"M";1993-03-06;"Y";"Y"
69;"Prospect";"Glynis";"Schnitzer";"123-99-7479";"M";1979-07-16;"Y";"Y"
70;"Closed";"Doerner";"Ema";"123-99-7479";"M";;"Y";"Y"
71;"Active";"Cuculich";"Kristofer";"123-99-7479";"M";1992-04-30;"Y";"Y"
72;"Active";"Lorretta";"Garavaglia";"123-99-7479";"M";1960-09-17;"Y";"Y"
73;"Active";"Cryderman";"Felton";"123-99-7479";"M";1966-04-13;"Y";"Y"
74;"Active";"Song";"Stong";"123-99-7479";"M";1962-08-07;"Y";"Y"
75;"Prospect";"Blaszczyk";"Chantel";"123-99-7479";"M";1963-09-29;"Y";"Y"
76;"Active";"Amy";"Coll";"123-99-7479";"F";1956-05-17;"Y";"Y"
77;"Active";"Krystle";"Kulseth";"123-99-7479";"M";2001-05-08;"Y";"Y"
