"ID";"CSTMR_TYPE";"FULL_NM";"GNDR";"PHONE_AREA_CD";"PHONE_NMBR";"EMAIL";"exp_FULL_NM";"exp_GNDR";"exp_PHONE";"exp_EMAIL";"exp_CSTMR_TYPE";"tmp_full_phone"
31;"Active";"Sarmiento Olene";"1";"203";"9181162";"j@bmo.com";"VALID";"VALID";"VALID";"VALID";"VALID";"203 9181162"
32;"Active";"Elizbeth Kazmer";"1";"203";"9341344";"JORDAN.SINGER@YAHOO.COM";"VALID";"VALID";"VALID";"VALID";"VALID";"203 9341344"
34;"Active";"Aleshia Kaszton";"1";"203";"2377622";"kevin.laycraft@rogers.com";"VALID";"VALID";"VALID";"VALID";"VALID";"203 2377622"
47;"Prospect";"Penalver Margarite";"0";"203";"9181162";"ab@abc.com";"VALID";"VALID";"VALID";"VALID";"VALID";"203 9181162"
58;"Active";"SYSTEM MIGRATION";"0";"203";"9181162";"abc@efg.com";"NAME_UNKNOWN_WORD";"VALID";"VALID";"VALID";"VALID";"203 9181162"
59;"Prospect";"Jeanett Dicecco";"0";"203";"8778501";"PIRI58@HOTMAIL.COM";"VALID";"VALID";"VALID";"VALID";"VALID";"203 8778501"
63;"Active";"Rolff Kellye";"0";"203";"6348870";"PIRI7@DAUM.COM";"VALID";"VALID";"VALID";"VALID";"VALID";"203 6348870"
93;"Active";"Sauber Candis";"0";"203";"3749322";"rlaycraft@bell.net";"VALID";"VALID";"VALID";"VALID";"VALID";"203 3749322"
103;"Active";"Plain Nickole";"1";"203";"9181162";"ab@abc.com";"VALID";"VALID";"VALID";"VALID";"VALID";"203 9181162"
116;"Prospect";"Ozella McMunn";"0";"203";"9181162";"B.RUBBLE@TELUS.NET";"VALID";"VALID";"VALID";"VALID";"VALID";"203 9181162"
117;"Active";"Toccara Mourad";"1";"203";"2283344";"B.RUBBLE@TELUS.NET";"VALID";"VALID";"VALID";"VALID";"VALID";"203 2283344"
128;"Active";"Iannaccone Sid";"1";"203";"9181162";"ab@abc.com";"VALID";"VALID";"VALID";"VALID";"VALID";"203 9181162"
130;"Active";"Robby Fils";"1";"203";"9181162";"abc@efg.com";"VALID";"VALID";"VALID";"VALID";"VALID";"203 9181162"
148;"Active";"SYSTEM MIGRATION";"0";"203";"9181162";"ab@abc.com";"NAME_UNKNOWN_WORD";"VALID";"VALID";"VALID";"VALID";"203 9181162"
159;"Active";"Willia Kaluna";"1";"203";"3636738";"ashley.laycraft@hotmail.com";"VALID";"VALID";"VALID";"VALID";"VALID";"203 3636738"
166;"Closed";"Auter Rodrick";"1";"203";"9439600";"eee@bmo.com";"VALID";"VALID";"VALID";"VALID";"VALID";"203 9439600"
175;"Active";"Sylvester Delbrune";;"203";"9181162";"FRED.FLINSTONE@BEDROCK.PARK.ON.CA";"VALID";"NULL";"VALID";"VALID";"VALID";"203 9181162"
183;"Active";"SYSTEM MIGRATION";"1";"203";"2356046";"FRED.FLINSTONE@BEDROCK.PARK.ON.CA";"NAME_UNKNOWN_WORD";"VALID";"VALID";"VALID";"VALID";"203 2356046"
197;"Prospect";"Jamar Ape";"1";"203";"9181162";"B.RUBBLE@TELUS.NET";"VALID";"VALID";"VALID";"VALID";"VALID";"203 9181162"
200;"Prospect";"Throneberry Maisha";"0";"203";"2556911";"eee@bmo.com";"VALID";"VALID";"VALID";"VALID";"VALID";"203 2556911"
205;"Prospect";"Trabue Elena";"1";"203";"6565856";"ab@abc.com";"VALID";"VALID";"VALID";"VALID";"VALID";"203 6565856"
217;"Active";"Branda Metzger";"1";"203";"9181162";"eee@bmo.com";"VALID";"VALID";"VALID";"VALID";"VALID";"203 9181162"
